No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
44,Win,41–2–1,Vitali Klitschko,TKO,"6 (12), 3:00",21 Jun 2003,"37 years, 292 days","Staples Center, Los Angeles, California, US","Retained WBC, IBO, and The Ring heavyweight titles"
43,Win,40–2–1,Mike Tyson,KO,"8 (12), 2:25",8 Jun 2002,"36 years, 279 days","The Pyramid, Memphis, Tennessee, US","Retained WBC, IBF, IBO, and The Ring heavyweight titles"
42,Win,39–2–1,Hasim Rahman,KO,"4 (12), 1:29",17 Nov 2001,"36 years, 76 days","Mandalay Bay Events Center, Paradise, Nevada, US","Won WBC, IBF, and IBO heavyweight titles"
41,Loss,38–2–1,Hasim Rahman,KO,"5 (12), 2:32",22 Apr 2001,"35 years, 232 days","Carnival City, Brakpan, South Africa","Lost WBC, IBF, and IBO heavyweight titles"
40,Win,38–1–1,David Tua,UD,12,11 Nov 2000,"35 years, 70 days","Mandalay Bay Events Center, Paradise, Nevada, US","Retained WBC, IBF, and IBO heavyweight titles"
39,Win,37–1–1,Francois Botha,TKO,"2 (12), 2:39",15 Jul 2000,"34 years, 317 days","London Arena, London, England","Retained WBC, IBF, and IBO heavyweight titles"
38,Win,36–1–1,Michael Grant,KO,"2 (12), 2:53",29 Apr 2000,"34 years, 240 days","Madison Square Garden, New York City, New York, US","Retained WBC, IBF, and IBO heavyweight titles"
37,Win,35–1–1,Evander Holyfield,UD,12,13 Nov 1999,"34 years, 72 days","Thomas & Mack Center, Paradise, Nevada, US","Retained WBC heavyweight title; Won WBA, IBF, and vacant IBO heavyweight titles"
36,Draw,34–1–1,Evander Holyfield,SD,12,13 Mar 1999,"33 years, 192 days","Madison Square Garden, New York City, New York, US",Retained WBC heavyweight title; For WBA and IBF heavyweight titles
35,Win,34–1,Željko Mavrović,UD,12,26 Sep 1998,"33 years, 24 days","Mohegan Sun Arena, Montville, Connecticut, US",Retained WBC heavyweight title
34,Win,33–1,Shannon Briggs,TKO,"5 (12), 1:45",28 Mar 1998,"32 years, 207 days","Boardwalk Hall, Atlantic City, New Jersey, US",Retained WBC heavyweight title
33,Win,32–1,Andrew Golota,KO,"1 (12), 1:35",4 Oct 1997,"32 years, 32 days","Boardwalk Hall, Atlantic City, New Jersey, US",Retained WBC heavyweight title
32,Win,31–1,Henry Akinwande,DQ,"5 (12), 2:34",12 Jul 1997,"31 years, 313 days","Caesars Tahoe, Stateline, Nevada, US",Retained WBC heavyweight title; Akinwande disqualified for repeated holding
31,Win,30–1,Oliver McCall,TKO,"5 (12), 0:55",7 Feb 1997,"31 years, 158 days","Las Vegas Hilton, Winchester, Nevada, US",Won vacant WBC heavyweight title
30,Win,29–1,Ray Mercer,MD,10,10 May 1996,"30 years, 251 days","Madison Square Garden, New York City, New York, US",
29,Win,28–1,Tommy Morrison,TKO,"6 (12), 1:22",7 Oct 1995,"30 years, 35 days","Convention Hall, Atlantic City, New Jersey, US",Won IBC heavyweight title
28,Win,27–1,Justin Fortune,TKO,"4 (10), 1:48",2 Jul 1995,"29 years, 303 days","Point Theatre, Dublin, Ireland",
27,Win,26–1,Lionel Butler,TKO,"5 (12), 2:55",13 May 1995,"29 years, 253 days","ARCO Arena, Sacramento, California, US",
26,Loss,25–1,Oliver McCall,TKO,"2 (12), 0:31",24 Sep 1994,"29 years, 22 days","Wembley Arena, London, England",Lost WBC heavyweight title
25,Win,25–0,Phil Jackson,TKO,"8 (12), 1:35",6 May 1994,"28 years, 246 days","Convention Hall, Atlantic City, New Jersey, US",Retained WBC heavyweight title
24,Win,24–0,Frank Bruno,TKO,"7 (12), 1:12",1 Oct 1993,"28 years, 29 days","National Stadium, Cardiff, Wales",Retained WBC heavyweight title
23,Win,23–0,Tony Tucker,UD,12,8 May 1993,"27 years, 248 days","Thomas & Mack Center, Paradise, Nevada, US",Retained WBC heavyweight title
22,Win,22–0,Donovan Ruddock,TKO,"2 (12), 0:46",31 Oct 1992,"27 years, 59 days","Earls Court Exhibition Centre, London, England",Retained Commonwealth heavyweight title
21,Win,21–0,Mike Dixon,TKO,"4 (10), 1:02",11 Aug 1992,"26 years, 344 days","Broadway by the Bay Theater, Atlantic City, New Jersey, US",
20,Win,20–0,Derek Williams,TKO,"3 (12), 2:30",30 Apr 1992,"26 years, 241 days","Royal Albert Hall, London, England",Retained British and European heavyweight titles; Won Commonwealth heavyweight title
19,Win,19–0,Levi Billups,UD,10,1 Feb 1992,"26 years, 152 days","Caesars Palace, Paradise, Nevada, US",
18,Win,18–0,Tyrell Biggs,TKO,"3 (10), 2:47",23 Nov 1991,"26 years, 82 days","Omni Coliseum, Atlanta, Georgia, US",
17,Win,17–0,Glenn McCrory,KO,"2 (12), 1:30",30 Sep 1991,"26 years, 28 days","Royal Albert Hall, London, England",Retained British and European heavyweight titles
16,Win,16–0,Mike Weaver,KO,"6 (10), 1:05",12 Jul 1991,"25 years, 283 days","Caesars Tahoe, Stateline, Nevada, US",
15,Win,15–0,Gary Mason,TKO,"7 (12), 0:44",6 Mar 1991,"25 years, 185 days","Wembley Arena, London, England",Retained European heavyweight title; Won British heavyweight title
14,Win,14–0,Jean-Maurice Chanet,TKO,"6 (12), 0:16",31 Oct 1990,"25 years, 59 days","Crystal Palace National Sports Centre, London, England",Won European heavyweight title
13,Win,13–0,Mike Acey,KO,"2 (10), 0:34",11 Jul 1990,"24 years, 312 days","Superstars Nite Club, Kitchener, Ontario, Canada",
12,Win,12–0,Ossie Ocasio,UD,8,27 Jun 1990,"24 years, 298 days","Royal Albert Hall, London, England",
11,Win,11–0,Dan Murphy,TKO,"6 (8), 2:11",20 May 1990,"24 years, 260 days","Town Hall, Sheffield, England",
10,Win,10–0,Jorge Dascola,KO,"1 (8), 2:59",9 May 1990,"24 years, 249 days","Royal Albert Hall, London, England",
9,Win,9–0,Michael Simuwelu,TKO,"1 (8), 0:58",14 Apr 1990,"24 years, 224 days","Royal Albert Hall, London, England",
8,Win,8–0,Calvin Jones,KO,"1 (8), 2:34",22 Mar 1990,"24 years, 201 days","Leisure Centre, Gateshead, England",
7,Win,7–0,Noel Quarless,TKO,"2 (6), 1:25",31 Jan 1990,"24 years, 151 days","York Hall, London, England",
6,Win,6–0,Greg Gorrell,TKO,"5 (8), 0:51",18 Dec 1989,"24 years, 107 days","Memorial Auditorium, Kitchener, Ontario, Canada",
5,Win,5–0,Melvin Epps,DQ,"2 (6), 0:30",5 Nov 1989,"24 years, 64 days","Royal Albert Hall, London, England",Epps disqualified for not obeying referee's instructions
4,Win,4–0,Steve Garber,KO,1 (6),10 Oct 1989,"24 years, 38 days","City Hall, Hull, England",
3,Win,3–0,Andrew Gerrard,TKO,"4 (6), 0:33",25 Sep 1989,"24 years, 23 days","Crystal Palace National Sports Centre, London, England",
2,Win,2–0,Bruce Johnson,TKO,2 (6),21 Jul 1989,"23 years, 322 days","Convention Hall, Atlantic City, New Jersey, US",
1,Win,1–0,Al Malcolm,KO,"2 (6), 0:19",27 Jun 1989,"23 years, 298 days","Royal Albert Hall, London, England",
